Sentence,Tags
An alligator or colloquially gator is a large reptile in the genus Alligator of the family Alligatoridae in the order Crocodilia,O ANIMAL O O O O O O O O O O ANIMAL O O O O O O O O
The two extant species are the American alligator A,O O O O O O O ANIMAL O
mississippiensis and the Chinese alligator A,O O O O ANIMAL O
sinensis,O
Additionally several extinct species of alligator are known from fossil remains,O O O O O ANIMAL O O O O O
Alligators first appeared during the late Eocene epoch about 37 million years ago,ANIMAL O O O O O O O O O O O O
The term alligator is likely an anglicized form of el lagarto Spanish for the lizard which early Spanish explorers and settlers in Florida called the alligator,O O ANIMAL O O O O O O O O O O O O O O O O O O O O O O ANIMAL
Early English spellings of the name included allagarta and alagarto,O O O O O O O O O O
Alligators and caimans split in North America during the early Tertiary or late Cretaceous about 53 million to 65 million years ago,ANIMAL O O O O O O O O O O O O O O O O O O O O O
The Chinese alligator split from the American alligator about 33 million years ago and probably descended from a lineage that crossed the Bering land bridge during the Neogene,O O ANIMAL O O O O ANIMAL O O O O O O O O O O O O O O O O O O O O
The modern American alligator is well represented in the fossil record of the Pleistocene,O O O ANIMAL O O O O O O O O O O
The alligators full mitochondrial genome was sequenced in the 1990s,O ANIMAL O O O O O O O O
The full genome published in 2014 suggests that the alligator evolved much more slowly than mammals and birds,O O O O O O O O O ANIMAL O O O O O O O O
The genus Alligator belongs to the subfamily Alligatorinae which is the sister taxon to Caimaninae the caimans,O O ANIMAL O O O O O O O O O O O O O O
Together these two subfamilies form the family Alligatoridae,O O O O O O O O
The cladogram below shows the phylogeny of alligators,O O O O O O O ANIMAL
Alligator hailensis Alligator mcgrewi Alligator mefferdi,ANIMAL O ANIMAL O ANIMAL O
The alpaca Lama pacos is a species of South American camelid mammal,O ANIMAL O O O O O O O O O O
Traditionally alpacas were kept in herds that grazed on the level heights of the Andes of Southern Peru Western Bolivia Ecuador and Northern Chile,O ANIMAL O O O O O O O O O O O O O O O O O O O O O O
More recently alpacas may be found on farms and ranches worldwide with thousands of animals born and raised annually,O O ANIMAL O O O O O O O O O O O O O O O O
Alpacas are especially popular in North America Europe and Australia,ANIMAL O O O O O O O O O
There are two modern breeds of alpaca separated based on their respective region of endemism and fiber wool type the Suri alpaca and the Huacaya alpaca,O O O O O O ANIMAL O O O O O O O O O O O O O O ANIMAL O O O ANIMAL
Both breeds produce a highly valued fiber with Suri alpacas fiber growing in straight locks while Huacaya fiber has a crimped wavy texture and grows in bundles,O O O O O O O O O ANIMAL O O O O O O O O O O O O O O O O O
These breeds fibers are used for making knitted and woven items similar to sheeps wool,O O O O O O O O O O O O O O O
Alpacas are visually and genetically similar to and often confused with a relative species the llamas however alpacas are visibly shorter and predominantly bred for their wool while llamas have long been more highly prized as livestock guardians in place of dogs and as a pack animal beastofburden owing to their nimble mountainclimbing abilities,ANIMAL O O O O O O O O O O O O O O O O ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Nonetheless all four South American camelids are closely related and can successfully crossbreed,O O O O O O O O O O O O O
Both the alpaca and the llama are believed to have been domesticated and selectively bred from their wild counterparts  the smaller finehaired vicuña and the larger stronger guanaco respectively  at least 5000 to 6000 years ago,O O ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Alpacas communicate through body language spitting to show dominance when distressed fearful or agitated,ANIMAL O O O O O O O O O O O O O
Male alpacas are more aggressive than females,O ANIMAL O O O O O
In some cases alpha males will immobilize the head and neck of a weaker or challenging male to show their strength and dominance,O O O O O O O O O O O O O O O O O O O O O O O
In the textile industry alpaca primarily refers to the hair of Peruvian alpacas,O O O O ANIMAL O O O O O O O ANIMAL
More broadly it refers to a style of fabric originally made from alpaca hair such as mohair Icelandic sheep wool or even highquality wool from other breeds of sheep,O O O O O O O O O O O O ANIMAL O O O O O O O O O O O O O O O O
In trade distinctions are made between alpacas and the several styles of mohair and luster,O O O O O O ANIMAL O O O O O O O O
The relationship between alpacas and vicuñas was disputed for many years,O O O ANIMAL O O O O O O O
In the 18th and 19th centuries the four South American lamoid species were assigned scientific names,O O O O O O O O O O O O O O O O
At that time the alpaca was assumed to be descended from the llama ignoring similarities in size fleece and dentition between the alpaca and the vicuña,O O O O ANIMAL O O O O O O O O O O O O O O O O O ANIMAL O O O
Classification was complicated by the fact that all four species of South American camelid can interbreed and produce fertile offspring,O O O O O O O O O O O O O O O O O O O O
The advent of DNA technology made a more accurate classification possible,O O O O O O O O O O O
In 2001 the alpaca genus classification changed from Lama pacos to Vicugna pacos following the presentation of a paper on work by Miranda Kadwell et al,O O O ANIMAL O O O O O O O O O O O O O O O O O O O O O O
on alpaca DNA to the Royal Society showing the alpaca is descended from the vicuña not the guanaco,O ANIMAL O O O O O O O ANIMAL O O O O O O O O
Anteaters are the four extant mammal species in the suborder Vermilingua meaning worm tongue commonly known for eating ants and termites,ANIMAL O O O O O O O O O O O O O O O O O O O O
The individual species have other names in English and other languages,O O O O O O O O O O O
Together with sloths they are within the order Pilosa,O O O O O O O O O
The name anteater is also commonly applied to the aardvark numbat echidnas and pangolins although they are not closely related to them,O O ANIMAL O O O O O O O O O O O O O O O O O O O
Extant species are the giant anteater Myrmecophaga tridactyla about 18 m 5 ft 11 in long including the tail the silky anteater Cyclopes didactylus about 35 cm 14 in long the southern tamandua or collared anteater Tamandua tetradactyla about 12 m 3 ft 11 in long and the northern tamandua Tamandua mexicana of similar dimensions,O O O O O ANIMAL O O O O O O O O O O O O O O O ANIMAL O O O O O O O O O O O O O ANIMAL O O O O O O O O O O O O O O O O O O O
The name anteater refers to the species diet which consists mainly of ants and termites,O O ANIMAL O O O O O O O O O O O O
Anteater has also been used as a common name for a number of animals that are not in Vermilingua including the echidnas numbat pangolins and aardvark,ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O
Anteaters are also known as antbears although this is more commonly used as a name for the aardvark,ANIMAL O O O O O O O O O O O O O O O O O
The word tamandua comes from Portuguese which itself borrowed it from the Tupí tamanduá meaning ant hunter,O O O O O O O O O O O O O O O O O
In Portuguese tamanduá is used to refer to all anteaters in Spanish only the two species in the genus Tamandua are known by this name with the giant anteater and silky anteater being called oso hormiguero and cíclope respectively,O O O O O O O O O ANIMAL O O O O O O O O O O O O O O O O O O ANIMAL O O ANIMAL O O O O O O O
All four species are also known by a number of indigenous names,O O O O O O O O O O O O
Anteaters are part of the Xenarthra superorder a once diverse group of mammals that occupied South America while it was geographically isolated from the invasion of animals from North America with the other two remaining animals in the family being the sloths and the armadillos,ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
At one time anteaters were assumed to be related to aardvarks and pangolins because of their physical similarities to those animals but these similarities have since been determined to be not a sign of a common ancestor but of convergent evolution,O O O ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
All have evolved powerful digging forearms long tongues and toothless tubelike snouts to subsist by raiding termite mounds,O O O O O O O O O O O O O O O O O O
The anteaters are more closely related to the sloths than they are to any other group of mammals,O ANIMAL O O O O O O O O O O O O O O O O
Their next closest relations are armadillos,O O O O O O
There are four extant species in three genera,O O O O O O O O
There are several extinct genera as well,O O O O O O O
Suborder Vermilingua anteaters,O O ANIMAL
The term antelope refers to numerous extant or recently extinct species of the ruminant artiodactyl family Bovidae that are indigenous to most of Africa India the Middle East Central Asia and a small area of Eastern Europe,O O ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Antelopes do not form a monophyletic group as some antelopes are more closely related to other bovid groups such as bovines goats and sheep than to other antelopes,ANIMAL O O O O O O O O ANIMAL O O O O O O O O O O O O O O O O O ANIMAL
A better definition also known as the true antelopes includes only the genera Gazella Nanger Eudorcas and Antilope,O O O O O O O O ANIMAL O O O O O O O O O
One North American mammal the pronghorn or pronghorn antelope is colloquially referred to as the American antelope despite the fact that it belongs to a completely different family Antilocapridae than the true OldWorld antelopes pronghorn are the sole extant member of an extinct prehistoric lineage that once included many unique species,O O O O O O O O ANIMAL O O O O O O O ANIMAL O O O O O O O O O O O O O O O O ANIMAL O O O O O O O O O O O O O O O O O
Although antelope are sometimes referred to and easily misidentified as deer cervids true deer are only distant relatives of antelopes,O ANIMAL O O O O O O O O O O O O O O O O O ANIMAL
While antelope are found in abundance in Africa only one deer species is found on the continentthe Barbary red deer of Northern Africa,O ANIMAL O O O O O O O O O O O O O O O O O O O O O
By comparison numerous deer species are usually found in regions of the world with fewer or no antelope species present such as throughout Southeast Asia Europe and all of the Americas,O O O O O O O O O O O O O O O O O ANIMAL O O O O O O O O O O O O O
This is likely due to competition over shared resources as deer and antelope fill a virtually identical ecological niche in their respective habitats,O O O O O O O O O O O O ANIMAL O O O O O O O O O O
Countries like India however have large populations of endemic deer and antelope with the different species generally keeping to their own niches with minimal overlap,O O O O O O O O O O O ANIMAL O O O O O O O O O O O O O
Unlike deer in which the males sport elaborate head antlers that are shed and regrown annually antelope horns are bone and grow steadily never falling off,O O O O O O O O O O O O O O O O ANIMAL O O O O O O O O O
If a horn is broken it will either remain broken or take years to partially regenerate depending on the species of the antelope,O O O O O O O O O O O O O O O O O O O O O O ANIMAL
The English word antelope first appeared in 1417 and is derived from the Old French antelop itself derived from Medieval Latin anthalopus which in turn comes from the Byzantine Greek word ἀνθόλοψ anthólops first attested in Eustathius of Antioch c,O O O ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
336 according to whom it was a fabulous animal haunting the banks of the Euphrates very savage hard to catch and having long sawlike horns capable of cutting down trees,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
It perhaps derives from Greek ἀνθος anthos flower and ώψ ops eye perhaps meaning beautiful eye or alluding to the animals long eyelashes,O O O O O O O O O O O O O O O O O O O O O O O
This however may be a folk etymology in Greek based on some earlier root,O O O O O O O O O O O O O O
The word talopus and calopus from Latin came to be used in heraldry,O O O O O O O O O O O O O
In 1607 it was first used for living cervine animals ,O O O O O O O O O O O
There are 91 antelope species most of which are native to Africa occur in about 30 genera,O O O ANIMAL O O O O O O O O O O O O O
The classification of tribes or subfamilies within Bovoidea is still a matter of debate with several alternative systems proposed,O O O O O O O O O O O O O O O O O O O
Antelope are not a cladistic or taxonomically defined group,ANIMAL O O O O O O O O
The term is used to describe all members of the family Bovidae that do not fall under the category of sheep cattle or goats,O O O O O O O O O O O O O O O O O O O O O O O O
Usually all species of the Antilopinae Hippotraginae Reduncinae Cephalophinae many Bovinae the grey rhebok and the impala are called antelope,O O O O O O O O O O O O O O O O O O O ANIMAL
Armadillos Spanish for little armored ones are New World placental mammals in the order Cingulata,ANIMAL O O O O O O O O O O O O O O
They form part of the superorder Xenarthra along with the anteaters and sloths,O O O O O O O O O O O O O
21 extant species of armadillo have been described some of which are distinguished by the number of bands on their armor,O O O O ANIMAL O O O O O O O O O O O O O O O O
All species are native to the Americas where they inhabit a variety of environments,O O O O O O O O O O O O O O
Living armadillos are characterized by a leathery armor shell and long sharp claws for digging,O ANIMAL O O O O O O O O O O O O O
They have short legs but can move quite quickly,O O O O O O O O O
The average length of an armadillo is about 75 cm 30 in including its tail,O O O O O ANIMAL O O O O O O O O O
The giant armadillo grows up to 150 cm 59 in and weighs up to 54 kg 119 lb while the pink fairy armadillo has a length of only 1315 cm 56 in,O O ANIMAL O O O O O O O O O O O O O O O O O O O ANIMAL O O O O O O O O O
When threatened by a predator Tolypeutes species frequently roll up into a ball they are the only species of armadillo capable of this,O O O O O O O O O O O O O O O O O O O ANIMAL O O O
Recent genetic research has shown that the megafaunal glyptodonts up to 15 metres 49 ft tall with maximum body masses of around 2 tonnes which became extinct around 12000 years ago are true armadillos more closely related to all other living armadillos than to Dasypus the longnosed or nakedtailed armadillos,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ANIMAL O O O O O O O ANIMAL O O O O O O O ANIMAL
Armadillos are currently classified into two families Dasypodidae with Dasypus as the only living genus and Chlamyphoridae which contains all other living armadillos as well as the glyptodonts,ANIMAL O O O O O O O O O O O O O O O O O O O O O ANIMAL O O O O O
The word armadillo means little armored one in Spanish it is derived from armadura armor with the diminutive suffix illo attached,O O ANIMAL O O O O O O O O O O O O O O O O O O
While the phrase little armored one would translate to armadito normally the suffix illo can be used in place of ito when the diminutive is used in an approximative tense,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The Aztecs called them āyōtōchtli  Nahuatl for turtlerabbit āyōtl turtle and tōchtli rabbit,O O O O O O O O O O O O O O
The Portuguese word for armadillo is tatu which is derived from the Tupi language ta bark armor and tu dense and used in Argentina Bolivia Brazil Paraguay and Uruguay similar names are also found in other especially European languages,O O O O ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Ninebanded armadillo or longnosed armadillo Dasypus novemcinctus Sevenbanded armadillo Dasypus septemcinctus Southern longnosed armadillo Dasypus hybridus,O ANIMAL O O ANIMAL O O O ANIMAL O O O O ANIMAL O O
Baboons are primates comprising the genus Papio one of the 23 genera of Old World monkeys in the family Cercopithecidae,ANIMAL O O O O O O O O O O O O O O O O O O O
There are six species of baboon the hamadryas baboon the Guinea baboon the olive baboon the yellow baboon the Kinda baboon and the chacma baboon,O O O O O ANIMAL O O ANIMAL O O ANIMAL O O ANIMAL O O ANIMAL O O ANIMAL O O O ANIMAL
Each species is native to one of six areas of Africa and the hamadryas baboon is also native to part of the Arabian Peninsula,O O O O O O O O O O O O O O ANIMAL O O O O O O O O O
Baboons are among the largest nonhominoid primates and have existed for at least two million years,ANIMAL O O O O O O O O O O O O O O O
Baboons vary in size and weight depending on the species,ANIMAL O O O O O O O O O
The smallest the Kinda baboon is 50 cm 20 in in length and weighs only 14 kg 31 lb while the largest the chacma baboon is up to 120 cm 47 in in length and weighs 40 kg 88 lb,O O O O ANIMAL O O O O O O O O O O O O O O O O O O O ANIMAL O O O O O O O O O O O O O O O
All baboons have long doglike muzzles heavy powerful jaws with sharp canine teeth closeset eyes thick fur except on their muzzles short tails and nerveless hairless pads of skin on their protruding buttocks called ischial callosities that provide for sitting comfort,O ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Male hamadryas baboons have large white manes,O O ANIMAL O O O O
Baboons exhibit sexual dimorphism in size colour andor canine teeth development,ANIMAL O O O O O O O O O O
Baboons are diurnal and terrestrial but sleep in trees or on high cliffs or rocks at night away from predators,ANIMAL O O O O O O O O O O O O O O O O O O O
They are found in open savannas and woodlands across Africa,O O O O O O O O O O
They are omnivorous and their diet consists of a variety of plants and animals,O O O O O O O O O O O O O O
Their principal predators are Nile crocodiles leopards lions and hyenas,O O O O O O O O O O
Most baboons live in hierarchical troops containing harems,O ANIMAL O O O O O O
Baboons can determine from vocal exchanges what the dominance relations are between individuals,ANIMAL O O O O O O O O O O O O
In general each male can mate with any female the mating order among the males depends partly on their social rank,O O O O O O O O O O O O O O O O O O O O O
Females typically give birth after a sixmonth gestation usually to one infant,O O O O O O O O O O O O
The females tend to be the primary caretaker of the young although several females may share the duties for all of their offspring,O O O O O O O O O O O O O O O O O O O O O O O
Offspring are weaned after about a year,O O O O O O O
They reach sexual maturity around five to eight years,O O O O O O O O O
Males leave their birth group usually before they reach sexual maturity whereas most females stay in the same group for their lives,O O O O O O O O O O O O O O O O O O O O O O
Baboons in captivity live up to 45 years while in the wild they average between 20 and 30 years,ANIMAL O O O O O O O O O O O O O O O O O O
Previously five species of baboon were recognised the Kinda baboon has gained support for its species status after phylogenetic studies of all members of Papio,O O O O ANIMAL O O O O ANIMAL O O O O O O O O O O O O O O O
Many authors distinguish P,O O O O
hamadryas as a full species but regard all the others as subspecies of P,O O O O O O O O O O O O O O
cynocephalus and refer to them collectively as savanna baboons,O O O O O O O O ANIMAL
This may not be helpful it is based on the argument that the hamadryas baboon is behaviorally and physically distinct from other baboon species and that this reflects a separate evolutionary history,O O O O O O O O O O O O O O ANIMAL O O O O O O O ANIMAL O O O O O O O O O
However recent morphological and genetic studies of Papio show the hamadryas baboon to be more closely related to the northern baboon species the Guinea and olive baboons than to the southern species the yellow and chacma baboons,O O O O O O O O O O O ANIMAL O O O O O O O O ANIMAL O O O O O ANIMAL O O O O O O O O O ANIMAL
In 2015 researchers found the oldest baboon fossil on record dated at 2 million years old,O O O O O O ANIMAL O O O O O O O O O
Badgers are mediumsized shortlegged omnivores in the superfamily Musteloidea,ANIMAL O O O O O O O O
Badgers are a polyphyletic rather than a natural taxonomic grouping being united by their squat bodies and adaptions for fossorial activity rather than by their ancestral relationships Musteloidea contains several families only two of which the weasel family Mustelidae and the skunk family Mephitidae include badgers moreover both of these families also include various other animals that are not badgers,ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ANIMAL O O O O O O O O O O O O O ANIMAL
The fifteen species of mustelid badgers are grouped in four subfamilies four species of Melinae genera Meles and Arctonyx including the European badger five species of Helictidinae genus Melogale or ferretbadger the honey badger or ratel Mellivorinae genus Mellivora and the American badger Taxideinae genus Taxidea,O O O O O ANIMAL O O O O O O O O O O O O O O O O ANIMAL O O O O O O O O O O ANIMAL O O O O O O O O ANIMAL O O O
Badgers include the most basal mustelids the American badger is the most basal of all followed successively by the ratel and the Melinae the estimated split dates are about 178 155 and 148 million years ago respectively,ANIMAL O O O O O O O ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The two species of Asiatic stink badgers of the genus Mydaus were formerly included within Melinae and thus Mustelidae but more recent genetic evidence indicates these are actually members of the skunk family Mephitidae,O O O O O O ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O
Badger mandibular condyles connect to long cavities in their skulls which gives resistance to jaw dislocation and increases their bite grip strength,ANIMAL O O O O O O O O O O O O O O O O O O O O O
This in turn limits jaw movement to hinging open and shut or sliding from side to side but it does not hamper the twisting movement possible for the jaws of most mammals,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Badgers have rather short wide bodies with short legs for digging,ANIMAL O O O O O O O O O O
They have elongated weasellike heads with small ears,O O O O O O O O
Their tails vary in length depending on species the stink badger has a very short tail while the ferretbadgers tail can be 4651 cm 1820 in long depending on age,O O O O O O O O O O ANIMAL O O O O O O O O O O O O O O O O O O O
They have black faces with distinctive white markings grey bodies with a lightcoloured stripe from head to tail and dark legs with lightcoloured underbellies,O O O O O O O O O O O O O O O O O O O O O O O O
They grow to around 90 cm 35 in in length including tail,O O O O O O O O O O O O
The European badger is one of the largest the American badger the hog badger and the honey badger are generally a little smaller and lighter,O O ANIMAL O O O O O O O ANIMAL O O ANIMAL O O O ANIMAL O O O O O O O
Stink badgers are smaller still and ferretbadgers are the smallest of all,O ANIMAL O O O O O O O O O O
They weigh around 911 kg 2024 lb while some Eurasian badgers weigh around 18 kg 40 lb,O O O O O O O O O O ANIMAL O O O O O O
The word badger originally applied to the European badger Meles meles comes from earlier bageard 16th century presumably referring to the white mark borne like a badge on its forehead,O O ANIMAL O O O O O ANIMAL O O O O O O O O O O O O O O O O O O O O O
Similarly a now archaic synonym was bauson badger 1375 a variant of bausond striped piebald from Old French bausant baucent id,O O O O O O O ANIMAL O O O O O O O O O O O O O
The bald eagle Haliaeetus leucocephalus is a bird of prey found in North America,O O O O O O O O O O O O O O
A sea eagle it has two known subspecies and forms a species pair with the whitetailed eagle Haliaeetus albicilla which occupies the same niche as the bald eagle in the Palearctic,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Its range includes most of Canada and Alaska all of the contiguous United States and northern Mexico,O O O O O O O O O O O O O O O O O
It is found near large bodies of open water with an abundant food supply and oldgrowth trees for nesting,O O O O O O O O O O O O O O O O O O O
The bald eagle is an opportunistic feeder which subsists mainly on fish which it swoops down upon and snatches from the water with its talons,O O O O O O O O O O O O O O O O O O O O O O O O O
It builds the largest nest of any North American bird and the largest tree nests ever recorded for any animal species up to 4 m 13 ft deep 25 m 82 ft wide and 1 metric ton 11 short tons in weight,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Sexual maturity is attained at the age of four to five years,O O O O O O O O O O O O
Bald eagles are not bald the name derives from an older meaning of the word whiteheaded,O O O O O O O O O O O O O O O O
The adult is mainly brown with a white head and tail,O O O O O O O O O O O
The sexes are identical in plumage but females are about 25 percent larger than males,O O O O O O O O O O O O O O O
The yellow beak is large and hooked,O O O O O O O
The plumage of the immature is brown,O O O O O O O
The bald eagle is the national symbol of the United States and appears on its seal,O O O O O O O O O O O O O O O O
In the late 20th century it was on the brink of extirpation in the contiguous United States but measures such as banning the practice of hunting bald eagles and banning the use of the harmful pesticide DDT slowed the decline of their population,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Populations have since recovered and the species status was upgraded from endangered to threatened in 1995 and removed from the list altogether in 2007,O O O O O O O O O O O O O O O O O O O O O O O O
In 2024 the bald eagle was officially made the national bird of the United States,O O O O O O O O O O O O O O O
The bald eagle is placed in the genus Haliaeetus sea eagles and gets both its common and specific scientific names from the distinctive appearance of the adults head,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Bald in the English name is from an older usage meaning having white on the face or head rather than hairless referring to the white head feathers contrasting with the darker body,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The bald eagle was one of the many species originally described by Carl Linnaeus in his 18thcentury work Systema Naturae under the name Falco leucocephalus,O O O O O O O O O O O O O O O O O O O O O O O O O
The bald eagle forms a species pair with the whitetailed eagle of Eurasia,O O O O O O O O O O O O O
This species pair consists of a whiteheaded and a tanheaded species of roughly equal size the whitetailed eagle also has overall somewhat paler brown body plumage,O O O O O O O O O O O O O O O O O O O O O O O O O O
The two species fill the same ecological niche in their respective ranges,O O O O O O O O O O O O
The pair diverged from other sea eagles at the beginning of the Early Miocene c,O O O O O O O O O O O O O O O
10 Ma BP at the latest but possibly as early as the EarlyMiddle Oligocene 28 Ma BP if the most ancient fossil record is correctly assigned to this genus,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Bats are flying mammals of the order Chiroptera ,ANIMAL O O O O O O O O
With their forelimbs adapted as wings they are the only mammals capable of true and sustained flight,O O O O O O O O O O O O O O O O O
Bats are more agile in flight than most birds flying with their very long spreadout digits covered with a thin membrane or patagium,ANIMAL O O O O O O O O O O O O O O O O O O O O O O
The smallest bat and arguably the smallest extant mammal is Kittis hognosed bat which is 2934 mm 1113 in in length 150 mm 59 in across the wings and 226 g 00710092 oz in mass,O O ANIMAL O O O O O O O O O ANIMAL O O O O O O O O O O O O O O O O O O O O O O
The largest bats are the flying foxes with the giant goldencrowned flying fox Acerodon jubatus reaching a weight of 16 kg 35 lb and having a wingspan of 17 m 5 ft 7 in,O O ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The second largest order of mammals after rodents bats comprise about 20 of all classified mammal species worldwide with over 1400 species,O O O O O O O O ANIMAL O O O O O O O O O O O O O
These were traditionally divided into two suborders the largely fruiteating megabats and the echolocating microbats,O O O O O O O O O O O O O O O
But more recent evidence has supported dividing the order into Yinpterochiroptera and Yangochiroptera with megabats as members of the former along with several species of microbats,O O O O O O O O O O O O O O O O O O O O O O O O O O
Many bats are insectivores and most of the rest are frugivores fruiteaters or nectarivores nectareaters,O ANIMAL O O O O O O O O O O O O O
A few species feed on animals other than insects for example the vampire bats feed on blood,O O O O O O O O O O O O O ANIMAL O O O
